Lead Name,WhatsApp Number,Email ID,Study Destination,Town,Submission Date,UTM Source,utm_medium,Campaign,Funnel Stage,College,Intake,Assigned To,Community Name,Internal Notes
Tunde Malik,+233 7696426451,tunde.malik97@gmail.com,UK,Delhi,8/8/2026,referral,social,mmt_amber_partnership,Booked,University of Birmingham,Sep 2026,Neha,Community #1,asked about visa
Chioma Iyer,+234 8051934682,chioma.iyer85@gmail.com,UK,Lagos,3/8/2026,referral,organic,mmt_amber_partnership,Contacted,Sheffield Hallam,Jan 2027,Raj,Community #1,hot lead
Chioma Gupta,+92 8166262871,chioma.gupta60@gmail.com,USA,Bengaluru,27/6/2026,whatsapp,social,mmt_amber_partnership,Qualified,ASU,Sep 2026,Aditi,Community #1,asked about visa
Fatima Iyer,+92 7377545505,fatima.iyer78@gmail.com,USA,Islamabad,21/7/2026,ig,none,aspirants,Lost,NTU,Jan 2027,Chirag,Community #1,follow up
Priya Reddy,+92 9062693665,priya.reddy23@gmail.com,Australia,Dhaka,24/7/2026,referral,none,mmt_amber_partnership,Booked,UBC,Sep 2026,Raj,Community #1,
Chioma Khan,+234 9231724573,chioma.khan5@gmail.com,Canada,Dhaka,20/8/2026,google,social,,Booked,TU Munich,Jan 2027,Raj,Community #1,asked about visa
Chioma Bello,+977 9255792326,chioma.bello81@gmail.com,Germany,Mumbai,11/7/2026,ig,referral,,Lost,NTU,Jan 2027,Chirag,Community #1,hot lead
Ayesha Nwosu,+233 7852842727,ayesha.nwosu8@gmail.com,USA,Kathmandu,18/6/2026,google,none,aspirants,Contacted,Monash,Sep 2026,Chirag,Community #2,asked about visa
Sneha Sharma,+233 9265968331,sneha.sharma18@gmail.com,Canada,Islamabad,23/6/2026,google,referral,scholarship_2026,Lost,TU Munich,Jan 2027,Raj,Community #2,follow up
Rahul Malik,+880 9750863228,rahul.malik27@gmail.com,UK,Islamabad,22/8/2026,google,social,mmt_amber_partnership,Booked,TU Munich,Sep 2026,Raj,Community #1,hot lead
Chioma Rahman,+880 7370231144,chioma.rahman42@gmail.com,Germany,Accra,4/6/2026,referral,organic,mmt_amber_partnership,Contacted,,Sep 2026,Raj,Community #1,asked about visa
Imran Singh,+977 8846944659,imran.singh14@gmail.com,Germany,Lahore,3/7/2026,direct,referral,mmt_amber_partnership,New,UBC,Sep 2026,Neha,Community #1,follow up
Imran Sharma,+91 9537661809,imran.sharma19@gmail.com,Canada,Kathmandu,5/6/2026,whatsapp,community,scholarship_2026,New,Monash,Jan 2027,Aditi,Community #1,hot lead
Mehak Mensah,+233 8210043233,mehak.mensah31@gmail.com,UK,Pune,8/7/2026,ig,community,,New,TU Munich,Jan 2027,Aditi,Community #2,follow up
Emeka Okonkwo,+234 9254339818,emeka.okonkwo21@gmail.com,USA,Accra,20/7/2026,direct,social,aspirants,Booked,Warwick,Sep 2026,Chirag,Community #1,
Ananya Bello,+880 7469147127,ananya.bello10@gmail.com,UK,Mumbai,27/6/2026,direct,organic,aspirants,Booked,University of Birmingham,Sep 2026,Chirag,Community #2,hot lead
Kabir Osei,+977 8140684385,kabir.osei26@gmail.com,Germany,Lagos,15/6/2026,referral,organic,,Booked,,Sep 2026,Aditi,Community #1,
Karan Malik,+977 7973384058,karan.malik74@gmail.com,Germany,Kathmandu,22/8/2026,direct,referral,mmt_amber_partnership,Qualified,,Sep 2026,Chirag,Community #1,asked about visa
Rahul Osei,+92 8818286122,rahul.osei54@gmail.com,Canada,Mumbai,3/8/2026,whatsapp,community,,Booked,Monash,Sep 2026,Chirag,Community #1,follow up
Fatima Nwosu,+92 9128822447,fatima.nwosu25@gmail.com,Australia,Delhi,24/8/2026,google,none,scholarship_2026,Lost,Warwick,Sep 2026,Raj,Community #1,asked about visa
Kabir Eze,+234 9829475946,kabir.eze71@gmail.com,Australia,Islamabad,3/8/2026,ig,community,aspirants,Booked,ASU,Sep 2026,Chirag,Community #2,
Divya Malik,+91 8324941051,divya.malik7@gmail.com,Canada,Pune,12/6/2026,ig,community,scholarship_2026,Booked,Monash,Sep 2026,Chirag,Community #2,
Kwame Osei,+91 9386256486,kwame.osei22@gmail.com,Canada,Islamabad,28/8/2026,google,social,mmt_amber_partnership,New,TU Munich,Jan 2027,Neha,Community #2,
Fatima Adeyemi,+233 8072789043,fatima.adeyemi15@gmail.com,UK,Delhi,12/8/2026,whatsapp,organic,mmt_amber_partnership,Contacted,Warwick,Sep 2026,Aditi,Community #1,
Chinedu Verma,+234 7492382646,chinedu.verma38@gmail.com,Germany,Karachi,4/7/2026,referral,organic,mmt_amber_partnership,Booked,University of Birmingham,Sep 2026,Neha,Community #1,asked about visa
Nikhil Khan,+91 7244433892,nikhil.khan80@gmail.com,Australia,Lahore,16/8/2026,direct,referral,,Booked,TU Munich,Sep 2026,Neha,Community #1,follow up
Emeka Malik,+91 7692632246,emeka.malik47@gmail.com,Germany,Kathmandu,5/7/2026,referral,none,,Qualified,UBC,Sep 2026,Neha,Community #2,hot lead
Sneha Eze,+233 7148792689,sneha.eze19@gmail.com,USA,Bengaluru,1/6/2026,direct,organic,aspirants,Lost,Monash,Jan 2027,Chirag,Community #1,
Ishita Osei,+977 7324357567,ishita.osei37@gmail.com,USA,Karachi,25/6/2026,ig,organic,mmt_amber_partnership,Qualified,,Sep 2026,Neha,Community #2,hot lead
Karan Singh,+880 8650658140,karan.singh32@gmail.com,USA,Kathmandu,23/6/2026,whatsapp,referral,scholarship_2026,New,Warwick,Jan 2027,Aditi,Community #2,hot lead
Chinedu Mensah,+92 9358850435,chinedu.mensah33@gmail.com,Australia,Mumbai,19/6/2026,google,social,scholarship_2026,Lost,Sheffield Hallam,Sep 2026,Neha,Community #1,asked about visa
Chioma Ali,+977 9845218879,chioma.ali63@gmail.com,Canada,Karachi,25/7/2026,google,organic,aspirants,Contacted,Monash,Sep 2026,Raj,Community #1,
Kwame Malik,+92 9831375787,kwame.malik83@gmail.com,UK,Dhaka,15/7/2026,whatsapp,social,scholarship_2026,Lost,University of Birmingham,Sep 2026,Raj,Community #1,follow up
Bilal Reddy,+977 9868611966,bilal.reddy82@gmail.com,Canada,Pune,7/6/2026,whatsapp,organic,mmt_amber_partnership,New,Warwick,Jan 2027,Neha,Community #1,
Priya Okonkwo,+977 9007953846,priya.okonkwo64@gmail.com,Australia,Lahore,26/7/2026,google,none,aspirants,New,UBC,Jan 2027,Raj,Community #2,hot lead
Aarav Mensah,+234 7467479400,aarav.mensah99@gmail.com,UK,Kathmandu,3/6/2026,google,none,mmt_amber_partnership,Lost,,Sep 2026,Neha,Community #1,hot lead
Divya Khan,+977 8013395411,divya.khan99@gmail.com,Australia,Islamabad,16/8/2026,direct,community,mmt_amber_partnership,Qualified,,Jan 2027,Chirag,Community #1,
Fatima Adeyemi,+234 9060739906,fatima.adeyemi52@gmail.com,UK,Pune,16/8/2026,referral,referral,aspirants,New,,Sep 2026,Chirag,Community #1,hot lead
Hina Iyer,+977 9803931244,hina.iyer68@gmail.com,UK,Kathmandu,5/8/2026,whatsapp,none,,Contacted,UBC,Jan 2027,Aditi,Community #1,hot lead
Vikram Sharma,+91 9643594601,vikram.sharma52@gmail.com,Canada,Pune,4/6/2026,whatsapp,community,,Booked,ASU,Sep 2026,Raj,Community #1,
Ishita Nwosu,+234 8160936634,ishita.nwosu42@gmail.com,Germany,Delhi,23/7/2026,google,organic,,Contacted,NTU,Jan 2027,Neha,Community #1,hot lead
Karan Sharma,+880 9857642732,karan.sharma21@gmail.com,Canada,Delhi,3/7/2026,referral,community,,Contacted,University of Birmingham,Sep 2026,Neha,Community #1,asked about visa
Nikhil Mensah,+92 9245113201,nikhil.mensah15@gmail.com,USA,Pune,14/6/2026,whatsapp,organic,scholarship_2026,Lost,UBC,Sep 2026,Chirag,Community #2,asked about visa
Karan Gupta,+92 9932614314,karan.gupta75@gmail.com,USA,Dhaka,14/6/2026,ig,social,scholarship_2026,Lost,TU Munich,Jan 2027,Raj,Community #1,
Hina Patel,+91 8596927800,hina.patel68@gmail.com,Germany,Pune,3/7/2026,whatsapp,referral,scholarship_2026,Lost,,Sep 2026,Neha,Community #2,
Nikhil Nwosu,+977 7237245779,nikhil.nwosu91@gmail.com,USA,Pune,7/7/2026,google,organic,aspirants,New,TU Munich,Sep 2026,Aditi,Community #1,hot lead
Chioma Khan,+977 8486881299,chioma.khan37@gmail.com,Australia,Kathmandu,11/6/2026,direct,organic,,Booked,UBC,Jan 2027,Aditi,Community #1,asked about visa
Kabir Mensah,+977 7017241338,kabir.mensah78@gmail.com,Australia,Bengaluru,14/7/2026,referral,none,scholarship_2026,Contacted,Sheffield Hallam,Sep 2026,Raj,Community #1,asked about visa
Karan Eze,+233 9188951368,karan.eze59@gmail.com,Australia,Pune,18/8/2026,direct,none,mmt_amber_partnership,Lost,,Jan 2027,Chirag,Community #2,hot lead
Tunde Bello,+92 9008096455,tunde.bello87@gmail.com,Canada,Lagos,3/8/2026,referral,referral,mmt_amber_partnership,Qualified,Warwick,Jan 2027,Aditi,Community #1,follow up
Rohan Adeyemi,+233 7671279137,rohan.adeyemi22@gmail.com,Canada,Dhaka,25/6/2026,whatsapp,referral,,Contacted,University of Birmingham,Jan 2027,Aditi,Community #1,asked about visa
Rahul Verma,+880 7336857811,rahul.verma46@gmail.com,Australia,Mumbai,14/6/2026,google,none,aspirants,Qualified,ASU,Jan 2027,Aditi,Community #1,asked about visa
Imran Iyer,+233 7491110775,imran.iyer88@gmail.com,USA,Kathmandu,16/8/2026,direct,community,scholarship_2026,Lost,UBC,Jan 2027,Aditi,Community #1,
Aarav Osei,+92 7189187409,aarav.osei23@gmail.com,Canada,Islamabad,7/8/2026,referral,organic,mmt_amber_partnership,Qualified,TU Munich,Jan 2027,Aditi,Community #1,asked about visa
Rahul Ali,+92 9024658708,rahul.ali6@gmail.com,Germany,Lahore,7/6/2026,google,social,mmt_amber_partnership,Booked,ASU,Jan 2027,Neha,Community #1,asked about visa
Obi Malik,+234 9790886049,obi.malik48@gmail.com,UK,Delhi,5/8/2026,whatsapp,organic,aspirants,New,Warwick,Jan 2027,Aditi,Community #2,asked about visa
Kabir Sharma,+91 8942483857,kabir.sharma60@gmail.com,Germany,Islamabad,25/8/2026,direct,none,,Contacted,Sheffield Hallam,Jan 2027,Aditi,Community #2,follow up
Amara Sharma,+977 7761536246,amara.sharma52@gmail.com,Australia,Pune,25/8/2026,google,community,mmt_amber_partnership,Booked,Warwick,Sep 2026,Raj,Community #1,
Aarav Patel,+880 7289138263,aarav.patel73@gmail.com,Germany,Pune,27/8/2026,whatsapp,organic,,New,,Jan 2027,Chirag,Community #2,
Karan Singh,+234 8698110789,karan.singh24@gmail.com,Australia,Bengaluru,5/8/2026,referral,organic,aspirants,Qualified,ASU,Jan 2027,Neha,Community #2,asked about visa
Ngozi Rahman,+234 9840259837,ngozi.rahman56@gmail.com,Australia,Bengaluru,2/8/2026,google,referral,scholarship_2026,New,TU Munich,Jan 2027,Aditi,Community #2,follow up
Karan Ahmed,+880 9316482892,karan.ahmed85@gmail.com,UK,Islamabad,26/7/2026,google,social,aspirants,Booked,UBC,Sep 2026,Neha,Community #1,asked about visa
Chioma Ahmed,+233 9001269587,chioma.ahmed52@gmail.com,Germany,Dhaka,7/7/2026,whatsapp,social,scholarship_2026,Booked,Sheffield Hallam,Sep 2026,Chirag,Community #1,asked about visa
Obi Reddy,+977 9623731512,obi.reddy64@gmail.com,USA,Delhi,1/6/2026,google,referral,scholarship_2026,Contacted,TU Munich,Sep 2026,Aditi,Community #1,follow up
Ishita Nwosu,+977 9731443762,ishita.nwosu91@gmail.com,Germany,Delhi,2/6/2026,direct,referral,aspirants,Contacted,University of Birmingham,Sep 2026,Aditi,Community #1,follow up
Karan Reddy,+977 7504550575,karan.reddy34@gmail.com,Canada,Mumbai,26/8/2026,whatsapp,referral,scholarship_2026,Booked,University of Birmingham,Jan 2027,Aditi,Community #1,hot lead
Zainab Okonkwo,+234 8521929519,zainab.okonkwo94@gmail.com,USA,Lahore,21/6/2026,google,none,aspirants,New,UBC,Sep 2026,Chirag,Community #1,hot lead
Aarav Kaur,+91 7657073536,aarav.kaur36@gmail.com,Canada,Nairobi,12/7/2026,referral,community,aspirants,Contacted,NTU,Jan 2027,Neha,Community #1,hot lead
Ananya Patel,+91 8128135477,ananya.patel20@gmail.com,Canada,Pune,19/6/2026,whatsapp,organic,mmt_amber_partnership,Booked,Warwick,Sep 2026,Neha,Community #1,follow up
Amara Rahman,+91 9371383292,amara.rahman59@gmail.com,UK,Islamabad,26/6/2026,referral,social,scholarship_2026,Lost,ASU,Jan 2027,Raj,Community #1,
Fatima Ali,+977 9282327297,fatima.ali54@gmail.com,Australia,Kathmandu,19/8/2026,ig,organic,scholarship_2026,Qualified,NTU,Sep 2026,Neha,Community #1,asked about visa
Bilal Patel,+91 9880541289,bilal.patel15@gmail.com,USA,Accra,5/7/2026,google,community,aspirants,Qualified,Warwick,Sep 2026,Chirag,Community #1,hot lead
Ngozi Gupta,+233 7666626661,ngozi.gupta31@gmail.com,Australia,Mumbai,7/7/2026,whatsapp,social,aspirants,New,University of Birmingham,Jan 2027,Chirag,Community #1,
Amara Verma,+91 8389361546,amara.verma80@gmail.com,Australia,Lagos,5/6/2026,google,community,aspirants,New,TU Munich,Sep 2026,Chirag,Community #1,follow up
Karan Patel,+91 7704191035,karan.patel99@gmail.com,USA,Bengaluru,20/6/2026,google,social,,Lost,NTU,Sep 2026,Neha,Community #2,asked about visa
Kabir Nwosu,+234 9404377030,kabir.nwosu87@gmail.com,USA,Karachi,3/6/2026,google,referral,scholarship_2026,Contacted,TU Munich,Jan 2027,Raj,Community #1,asked about visa
Rohan Singh,+91 9462389102,rohan.singh82@gmail.com,UK,Dhaka,16/6/2026,ig,organic,,New,UBC,Sep 2026,Aditi,Community #2,follow up
Chioma Rahman,+91 9441071099,chioma.rahman88@gmail.com,Australia,Karachi,27/7/2026,direct,none,mmt_amber_partnership,Lost,,Sep 2026,Raj,Community #1,follow up
Emeka Eze,+233 7775474568,emeka.eze74@gmail.com,UK,Lahore,7/6/2026,direct,organic,,Booked,Sheffield Hallam,Sep 2026,Neha,Community #2,hot lead
Adaeze Malik,+91 7362472309,adaeze.malik54@gmail.com,Germany,Nairobi,10/6/2026,google,none,scholarship_2026,Qualified,,Sep 2026,Raj,Community #1,asked about visa
Priya Rahman,+92 7288245521,priya.rahman24@gmail.com,Germany,Lahore,20/7/2026,referral,referral,aspirants,Contacted,University of Birmingham,Jan 2027,Chirag,Community #2,hot lead
Mehak Iyer,+234 8151989985,mehak.iyer51@gmail.com,Canada,Accra,5/7/2026,google,community,scholarship_2026,Contacted,ASU,Sep 2026,Raj,Community #1,
Emeka Verma,+977 8154498636,emeka.verma13@gmail.com,Australia,Islamabad,15/6/2026,referral,none,scholarship_2026,Qualified,ASU,Sep 2026,Neha,Community #2,hot lead
Ngozi Gupta,+233 9649898676,ngozi.gupta8@gmail.com,Germany,Accra,12/7/2026,google,social,aspirants,New,,Jan 2027,Aditi,Community #1,follow up
Imran Eze,+91 8065673238,imran.eze18@gmail.com,UK,Bengaluru,20/8/2026,whatsapp,referral,aspirants,Booked,NTU,Jan 2027,Chirag,Community #1,
